zip,city,county,population
6390,Fishers Island,Suffolk,61
10001,New York City,New York,25026
10002,New York City,New York,74363
10003,New York City,New York,54671
10004,New York City,New York,3310
10005,New York City,New York,8664
10006,New York City,New York,3260
10007,New York City,New York,7566
10009,New York City,New York,58267
10010,New York City,New York,34763
10011,New York City,New York,50228
10012,New York City,New York,23034
10013,New York City,New York,28657
10014,New York City,New York,29071
10016,New York City,New York,52912
10017,New York City,New York,16065
10018,New York City,New York,8135
10019,New York City,New York,45521
10020,New York City,New York,0
10021,New York City,New York,42253
10022,New York City,New York,31574
10023,New York City,New York,62228
10024,New York City,New York,60714
10025,New York City,New York,92162
10026,New York City,New York,38937
10027,New York City,New York,64728
10028,New York City,New York,47962
10029,New York City,New York,74617
10030,New York City,New York,30996
10031,New York City,New York,60280
10032,New York City,New York,59527
10033,New York City,New York,58648
10034,New York City,New York,41933
10035,New York City,New York,36999
10036,New York City,New York,28231
10037,New York City,New York,19177
10038,New York City,New York,24205
10039,New York City,New York,27090
10040,New York City,New York,45197
10044,New York City,New York,12770
10069,New York City,New York,6504
10103,New York City,New York,0
10110,New York City,New York,0
10111,New York City,New York,0
10112,New York City,New York,0
10115,New York City,New York,0
10119,New York City,New York,0
10128,New York City,New York,57993
10152,New York City,New York,0
10153,New York City,New York,0
10154,New York City,New York,0
10162,New York City,New York,1240
10165,New York City,New York,0
10167,New York City,New York,0
10168,New York City,New York,0
10169,New York City,New York,0
10170,New York City,New York,0
10171,New York City,New York,0
10172,New York City,New York,0
10173,New York City,New York,0
10174,New York City,New York,0
10177,New York City,New York,0
10199,New York City,New York,0
10271,New York City,New York,0
10278,New York City,New York,0
10279,New York City,New York,96
10280,New York City,New York,9372
10282,New York City,New York,6086
10301,Staten Island,Richmond,38001
10302,Staten Island,Richmond,17942
10303,Staten Island,Richmond,27164
10304,Staten Island,Richmond,42133
10305,Staten Island,Richmond,42968
10306,Staten Island,Richmond,54318
10307,Staten Island,Richmond,15053
10308,Staten Island,Richmond,28901
10309,Staten Island,Richmond,33896
10310,Staten Island,Richmond,24168
10311,Staten Island,Richmond,0
10312,Staten Island,Richmond,61114
10314,Staten Island,Richmond,89938
10451,Bronx,Bronx,49423
10452,Bronx,Bronx,74379
10453,Bronx,Bronx,78858
10454,Bronx,Bronx,37807
10455,Bronx,Bronx,40300
10456,Bronx,Bronx,90479
10457,Bronx,Bronx,74679
10458,Bronx,Bronx,85893
10459,Bronx,Bronx,48391
10460,Bronx,Bronx,57514
10461,Bronx,Bronx,51081
10462,Bronx,Bronx,75441
10463,Bronx,Bronx,70236
10464,Bronx,Bronx,4322
10465,Bronx,Bronx,45066
10466,Bronx,Bronx,74519
10467,Bronx,Bronx,100867
10468,Bronx,Bronx,78778
10469,Bronx,Bronx,72550
10470,Bronx,Bronx,15500
10471,Bronx,Bronx,22577
10472,Bronx,Bronx,67989
10473,Bronx,Bronx,59627
10474,Bronx,Bronx,11579
10475,Bronx,Bronx,43791
10501,Amawalk,Westchester,1237
10502,Ardsley,Westchester,5351
10503,Ardsley On Hudson,Westchester,106
10504,Armonk,Westchester,8053
10505,Baldwin Place,Westchester,1336
10506,Bedford,Westchester,5555
10507,Bedford Hills,Westchester,7152
